ファイル名,行数,文言（オリジナル）,文言（翻訳）
Text_EN.txt,95,This allows you to disable the lifting of objects.,
Text_EN.txt,96,Disables the displays of all rooms.,
Text_EN.txt,97,Money,
Text_EN.txt,98,Fans,
Text_EN.txt,99,Have all employees controlled by the AI,
Text_EN.txt,100,▲,
Text_EN.txt,101,▼,
Text_EN.txt,102,■,
Text_EN.txt,103,Y,
Text_EN.txt,104,M,
Text_EN.txt,105,W,
Text_EN.txt,106,Pause game,
Text_EN.txt,107,Normal speed,
Text_EN.txt,108,High speed,
Text_EN.txt,109,<b>Buy items for this room</b>,
Text_EN.txt,110,Motivation,
Text_EN.txt,111,NONE,
Text_EN.txt,112,NONE,
Text_EN.txt,113,NONE,
Text_EN.txt,114,Storage location description,
Text_EN.txt,115,Server description,
Text_EN.txt,116,Machine description,
Text_EN.txt,117,"Always keep your offices clean!<br>Due to high pollution, your employees can quit<br>and no more employees will apply to your company.",
Text_EN.txt,118,Employees,
Text_EN.txt,119,Drop employees,
Text_EN.txt,120,Gamedesign,
Text_EN.txt,121,Programming,
Text_EN.txt,122,Graphic design,
Text_EN.txt,123,Music & Sound,
Text_EN.txt,124,Marketing & Support,
Text_EN.txt,125,Gametesting,
Text_EN.txt,126,Hardware & Engineering,
Text_EN.txt,127,Research,
Text_EN.txt,128,Salary,
Text_EN.txt,129,Dismiss employees,
Text_EN.txt,130,<b>Star designer</b><br>Star designers create hype for games they work on.,
Text_EN.txt,131,<b>Inexhaustible</b><br>Inexhaustible employees do not need breaks.,
Text_EN.txt,132,<b>Error-free</b><br>Error-free employees never create bugs.,
Text_EN.txt,133,<b>Loyal</b><br>Loyal employees will never quit.,
Text_EN.txt,134,<b>Talented</b><br>Talented employees learn faster.,
Text_EN.txt,135,<b>Luck</b><br>Critical work results occur significantly more frequently.,
Text_EN.txt,136,<b>Sporty</b><br>The movement speed is increased.,
Text_EN.txt,137,<b>Orderly</b><br>Ordinary employees do not make dirt and garbage.,
Text_EN.txt,138,Game designer,
Text_EN.txt,139,Programmer,
Text_EN.txt,140,Graphic artist,
Text_EN.txt,141,Sound artist,
Text_EN.txt,142,Office worker,
Text_EN.txt,143,Game tester,
Text_EN.txt,144,Technician,
Text_EN.txt,145,Scientists,
Text_EN.txt,146,Pause/resume current work,
Text_EN.txt,147,Employees assigned to this room,
Text_EN.txt,148,Disable AI for this room,
Text_EN.txt,149,Rename room,
Text_EN.txt,150,Room redesign,
Text_EN.txt,151,Demolish room,
Text_EN.txt,152,Please enter the name of the room,
Text_EN.txt,153,Cancel,
Text_EN.txt,154,Do you really want to tear down the room?<br>By selling the inventory you get <color=green><NUM></color>.,
Text_EN.txt,155,Research,
Text_EN.txt,156,Research everything automatically,
Text_EN.txt,157,<NUM> Research points,
Text_EN.txt,158,Continue research,
Text_EN.txt,159,Genres,
Text_EN.txt,160,Topics,
Text_EN.txt,161,Engine Features,
Text_EN.txt,162,Gameplay Features,
Text_EN.txt,163,Hardware,
Text_EN.txt,164,Miscellaneous,
Text_EN.txt,165,New research available,
Text_EN.txt,166,Research completed,
Text_EN.txt,167,Cancel task,
Text_EN.txt,168,Move task,
Text_EN.txt,169,End automatic,
Text_EN.txt,170,Automatic is active,
Text_EN.txt,171,Delete all messages,
Text_EN.txt,172,Chipset,
Text_EN.txt,173,Controller,
Text_EN.txt,174,External memory,
Text_EN.txt,175,Internal memory,
Text_EN.txt,176,RAM,
Text_EN.txt,177,Case,
Text_EN.txt,178,Monitor,
Text_EN.txt,179,Handheld Case,
Text_EN.txt,180,"To move the task, click on a room of the same type with the <color=blue>left mouse button</color>.",
Text_EN.txt,181,Remove,
Text_EN.txt,182,Remove door,
Text_EN.txt,183,<b>Motivation</b><br>Unmotivated employees work more slowly.,
Text_EN.txt,184,Name,
Text_EN.txt,185,<NUM> Employees,
Text_EN.txt,186,Dismiss employees,
Text_EN.txt,187,Do you really want to dismiss <NAME>?,
Text_EN.txt,188,Overview of employees,
Text_EN.txt,189,Shows how many employees work in this area.,
Text_EN.txt,190,Employees without a task,
Text_EN.txt,191,Motivation,
Text_EN.txt,192,Job market,
Text_EN.txt,193,Group management,
Text_EN.txt,194,Employees in this room,
Text_EN.txt,195,Employee details,
Text_EN.txt,196,Hire,
Text_EN.txt,197,Dismissed,
Text_EN.txt,198,Select,
Text_EN.txt,199,<NUM> Applications,
Text_EN.txt,200,Details,
Text_EN.txt,201,monthly <NUM>,
Text_EN.txt,202,Unassigned employees,
Text_EN.txt,203,Group,
Text_EN.txt,204,Select group,
Text_EN.txt,205,Management,
Text_EN.txt,206,Buy DevKits,
Text_EN.txt,207,Buy Engine,
Text_EN.txt,208,Buy copy protection,
Text_EN.txt,209,Buy licenses,
Text_EN.txt,210,Publishing offers,
Text_EN.txt,211,Bank,
Text_EN.txt,212,Real Estate,
Text_EN.txt,213,Company Name & Logo,
Text_EN.txt,214,Remove game from the market,
Text_EN.txt,215,DevKits for purchase,
Text_EN.txt,216,DevKits owned,
Text_EN.txt,217,Manufacturer,
Text_EN.txt,218,Release date,
Text_EN.txt,219,Purchase price,
Text_EN.txt,220,Market share,
Text_EN.txt,221,Available games,
Text_EN.txt,222,January,
Text_EN.txt,223,February,
Text_EN.txt,224,March,
Text_EN.txt,225,April,
Text_EN.txt,226,May,
Text_EN.txt,227,June,
Text_EN.txt,228,July,
Text_EN.txt,229,August,
Text_EN.txt,230,September,
Text_EN.txt,231,October,
Text_EN.txt,232,November,
Text_EN.txt,233,December,
Text_EN.txt,234,This device is no longer available.,
Text_EN.txt,235,You do not have enough money!,
Text_EN.txt,236,Do you really want to buy the development kit?,
Text_EN.txt,237,New platform available,
Text_EN.txt,238,A platform was taken off the market,
Text_EN.txt,239,Show platforms taken off the market,
Text_EN.txt,240,Assign Group,
Text_EN.txt,241,Develop Engines,
Text_EN.txt,242,Develop new engine,
Text_EN.txt,243,Update old engine,
Text_EN.txt,244,Name of the Engine,
Text_EN.txt,245,Random Name,
Text_EN.txt,246,Special genre,
Text_EN.txt,247,Offer engine for sale,
Text_EN.txt,248,Start development,
Text_EN.txt,249,<color=red>???</color>,
Text_EN.txt,250,Enable / disable all,
Text_EN.txt,251,Note,
Text_EN.txt,252,You must choose a special genre!,
Text_EN.txt,253,You must give the engine a name!,
Text_EN.txt,254,You must add at least one new engine feature!,
Text_EN.txt,255,<color=black>Gameplay: <NUM></color>,
Text_EN.txt,256,<color=black>Graphic: <NUM></color>,
Text_EN.txt,257,<color=black>Sound: <NUM></color>,
Text_EN.txt,258,<color=black>Technology: <NUM></color>,
Text_EN.txt,259,Own Engines,
Text_EN.txt,260,Which engine do you want to update?,
Text_EN.txt,261,Profit sharing,
Text_EN.txt,262,Games with this engine,
Text_EN.txt,263,Own Engine,
Text_EN.txt,264,Select the engine features,
Text_EN.txt,265,Select the special genre,
Text_EN.txt,266,A new engine is available,
Text_EN.txt,267,Engines for purchase,
Text_EN.txt,268,Bought Engines,
Text_EN.txt,269,Sold licenses,
Text_EN.txt,270,Engine details,
Text_EN.txt,271,Buy,
Text_EN.txt,272,Games,
Text_EN.txt,273,Features,
Text_EN.txt,274,Genre,
Text_EN.txt,275,Developer,
Text_EN.txt,276,Units sold,
Text_EN.txt,277,Turnover,
Text_EN.txt,278,Review result,
Text_EN.txt,279,Review,
Text_EN.txt,280,HIT!,
Text_EN.txt,281,TRASH!,
Text_EN.txt,282,Company name,
Text_EN.txt,283,Logo,
Text_EN.txt,284,Please choose your company logo.,
Text_EN.txt,285,Engine completed,
Text_EN.txt,286,Hide outdated copy protection,
Text_EN.txt,287,Effectiveness,
Text_EN.txt,288,Copy protection for purchase,
Text_EN.txt,289,Bought copy protection,
Text_EN.txt,290,New copy protection available,
Text_EN.txt,291,Do you really want to buy this copy protection?,
Text_EN.txt,292,Buy a new license,
Text_EN.txt,293,Sell License,
Text_EN.txt,294,Games with an official license can increase sales figures.,
Text_EN.txt,295,With your own engines you save expensive licensing costs. You can also sell your engines to the competition.,
Text_EN.txt,296,Licenses for purchase,
Text_EN.txt,297,Purchased licenses,
Text_EN.txt,298,<NUM> Games,
Text_EN.txt,299,Film license,
Text_EN.txt,300,Book license,
Text_EN.txt,301,Sports license,
Text_EN.txt,302,This license can be used for <NUM> games.,
Text_EN.txt,303,Popularity,
Text_EN.txt,304,The list is empty!,
Text_EN.txt,305,Type of license,
Text_EN.txt,306,Uses,
Text_EN.txt,307,Do you really want to buy the license?,
Text_EN.txt,308,Purchased,
Text_EN.txt,309,Do you really want to sell the license?,
Text_EN.txt,310,<b>Nature lover</b><br>Nature lovers need plants in their vicinity.<br>Their motivation increases when they water plants.,
Text_EN.txt,311,Monthly costs,
Text_EN.txt,312,Interior design,
Text_EN.txt,313,Heat,
Text_EN.txt,314,Regeneration of motivation,
Text_EN.txt,315,Go to:,
Text_EN.txt,316,Used:,
Text_EN.txt,317,Develop a game,
Text_EN.txt,318,Name of the game,
Text_EN.txt,319,New game,
Text_EN.txt,320,Sequel,
Text_EN.txt,321,Remaster,
Text_EN.txt,322,Do you want to develop a new game or a sequel / remaster of an old game?,
Text_EN.txt,323,Standard game,
Text_EN.txt,324,Massively Multiplayer Online,
Text_EN.txt,325,Free To Play,
Text_EN.txt,326,Game type,
Text_EN.txt,327,"Please select the game type. For MMO and F2P games the feature ""Online Multiplayer"" is required.",
Text_EN.txt,328,Game size,
Text_EN.txt,329,"The bigger the game, the more gameplay features you can use.",
Text_EN.txt,330,B,
Text_EN.txt,331,B+,
Text_EN.txt,332,A,
Text_EN.txt,333,AA,
Text_EN.txt,334,AAA,
Text_EN.txt,335,Max. Features,
Text_EN.txt,336,Infinity,
Text_EN.txt,337,Target group,
Text_EN.txt,338,Children,
Text_EN.txt,339,Teenagers,
Text_EN.txt,340,Adults,
Text_EN.txt,341,Seniors,
Text_EN.txt,342,All,
Text_EN.txt,343,Please choose the target group for your game.,
Text_EN.txt,344,Main genre,
Text_EN.txt,345,Subgenre,
Text_EN.txt,346,Remove Genre,
Text_EN.txt,347,Will be unlocked if you have researched <color=blue>Online Multiplayer</color>.,
Text_EN.txt,348,Will be unlocked if you have researched <color=blue>Online Multiplayer</color>.,
Text_EN.txt,349,"You can research further game sizes under the category <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,350,"You can research the subgenre under the heading <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,351,"You can research the subtopic under the heading <color=blue>""Miscellaneous""</color>.",
Text_EN.txt,352,Will be unlocked if you have <color=blue>$1.000.000</color>.,
Text_EN.txt,353,Main topic,
Text_EN.txt,354,Subtopic,
Text_EN.txt,355,Remove topic,
Text_EN.txt,356,Alphabet,
Text_EN.txt,357,License,
Text_EN.txt,358,Remove license,
Text_EN.txt,359,Without license,
Text_EN.txt,360,Should the name be used as game name?,
Text_EN.txt,361,Main Platform,
Text_EN.txt,362,Platform 2,
Text_EN.txt,363,Platform 3,
Text_EN.txt,364,Platform 4,
